IMAGE-PATH,IMAGE-NAME,IMAGE-1st-DOMINANT-COLOR,IMAGE-2nd-DOMINANT-COLOR
zip file/MTO-AR-TR-1.jpg,MTO-AR-TR-1.jpg,Dark Purple,Pearl
zip file/MTO-PAT365-LBLU.jpg,MTO-PAT365-LBLU.jpg,Charcoal,Light Blue
zip file/MDR-MTO-URB29.jpg,MDR-MTO-URB29.jpg,Charcoal,Tan
zip file/MDR-MTO-ABS10.jpg,MDR-MTO-ABS10.jpg,Licorice,Desert
zip file/MTO-AR-TR-34.jpg,MTO-AR-TR-34.jpg,Licorice,Eggshell
zip file/MDR-MTO-ABS6.jpg,MDR-MTO-ABS6.jpg,Oxblood,Desert
zip file/MDR-MTO-URB22.jpg,MDR-MTO-URB22.jpg,Licorice,Bone White
zip file/MDR-MTO-ABS29.jpg,MDR-MTO-ABS29.jpg,Licorice,Pastel Orange
zip file/MTO-PAT363-YW.jpg,MTO-PAT363-YW.jpg,Oxblood,Peridot
zip file/MDR-MTO-URB15.jpg,MDR-MTO-URB15.jpg,Charcoal,Lavender
zip file/MDR-MTO-ABS7.jpg,MDR-MTO-ABS7.jpg,Burnt Sienna,Burnt Umber
zip file/MTO-AR-TR-29.jpg,MTO-AR-TR-29.jpg,Pewter,Taupe
zip file/MTO-AR-TR-38.jpg,MTO-AR-TR-38.jpg,Dark Gray,Licorice
zip file/MTO-AR-TR-39.jpg,MTO-AR-TR-39.jpg,Licorice,Silver
zip file/MTO-PAT360-PUR.jpg,MTO-PAT360-PUR.jpg,Midnight Blue,Mauve
zip file/MDR-MTO-ABS22.jpg,MDR-MTO-ABS22.jpg,Burnt Sienna,Burnt Umber
zip file/MTO-PAT365-GRN.jpg,MTO-PAT365-GRN.jpg,Mint Green,Army Green
zip file/MTO-PAT361-LBLU.jpg,MTO-PAT361-LBLU.jpg,Light Blue,Dark Green
zip file/MDR-MTO-URB18.jpg,MDR-MTO-URB18.jpg,Matte Black,Parchment
zip file/MTO-PAT362-RD.jpg,MTO-PAT362-RD.jpg,Bone White,Falu Red
zip file/MDR-MTO-URB5.jpg,MDR-MTO-URB5.jpg,Onyx,Light Gray
zip file/MTO-AR-TR-7.jpg,MTO-AR-TR-7.jpg,Licorice,Almond
zip file/MTO-AR-TR-11.jpg,MTO-AR-TR-11.jpg,Alabaster,Licorice
zip file/MDR-MTO-ABS24.jpg,MDR-MTO-ABS24.jpg,Sienna,Peach
zip file/MTO-AR-TR-2.jpg,MTO-AR-TR-2.jpg,Eggplant,Blue Gray
zip file/MTO-PAT361-BRN.jpg,MTO-PAT361-BRN.jpg,Licorice,Watermelon Pink
zip file/MDR-MTO-ABS31.jpg,MDR-MTO-ABS31.jpg,Fern Green,Army Green
zip file/MTO-AR-TR-22.jpg,MTO-AR-TR-22.jpg,Pearl,Charcoal
zip file/MTO-PAT363-GRN.jpg,MTO-PAT363-GRN.jpg,Matte Black,Mint Green
zip file/MTO-AR-TR-36.jpg,MTO-AR-TR-36.jpg,Alabaster,Licorice
zip file/MDR-MTO-URB39.jpg,MDR-MTO-URB39.jpg,Oxblood,Off White
zip file/MTO-PAT361-RD.jpg,MTO-PAT361-RD.jpg,Licorice,Pink
zip file/MTO-AR-TR-6.jpg,MTO-AR-TR-6.jpg,Alabaster,Licorice
zip file/MTO-PAT364-YW.jpg,MTO-PAT364-YW.jpg,Falu Red,Vanilla
zip file/MDR-MTO-URB8.jpg,MDR-MTO-URB8.jpg,Licorice,Off White
zip file/MDR-MTO-URB2.jpg,MDR-MTO-URB2.jpg,Alabaster,Coffee
zip file/MDR-MTO-URB35.jpg,MDR-MTO-URB35.jpg,Poppy,Falu Red
zip file/MTO-PAT365-RD.jpg,MTO-PAT365-RD.jpg,Garnet,Light Pink
zip file/MDR-MTO-URB26.jpg,MDR-MTO-URB26.jpg,Dark Brown,Bone White
zip file/MTO-AR-TR-20.jpg,MTO-AR-TR-20.jpg,Alabaster,Licorice
zip file/MTO-PAT365-BLU.jpg,MTO-PAT365-BLU.jpg,Periwinkle,Egyptian Blue
zip file/MDR-MTO-ABS37.jpg,MDR-MTO-ABS37.jpg,Cornsilk,Fallow
zip file/MDR-MTO-URB31.jpg,MDR-MTO-URB31.jpg,Charcoal,Lavender
zip file/MDR-MTO-ABS34.jpg,MDR-MTO-ABS34.jpg,Puce,Wheat
zip file/MDR-MTO-URB16.jpg,MDR-MTO-URB16.jpg,Jet Black,Bone White
zip file/MTO-AR-TR-4.jpg,MTO-AR-TR-4.jpg,Light Gray,Black
zip file/MDR-MTO-ABS33.jpg,MDR-MTO-ABS33.jpg,Sienna,Peach
zip file/MTO-PAT361-BLU.jpg,MTO-PAT361-BLU.jpg,Licorice,Periwinkle
zip file/MDR-MTO-ABS39.jpg,MDR-MTO-ABS39.jpg,Pastel Orange,Russet
zip file/MTO-PAT363-PUR.jpg,MTO-PAT363-PUR.jpg,Midnight Blue,Mauve
